TYPE,TIME,X,Y,THETA,VX,VY,VA
SIM, 0.030100,0.000309,0.000163,0.000008,0.032745,0.017971,0.000738
SIM, 0.060100,0.002454,0.001416,0.000041,0.116962,0.070166,0.001360
SIM, 0.090101,0.007466,0.004419,0.000087,0.216135,0.131333,0.001723
SIM, 0.120101,0.015150,0.009501,0.000144,0.294983,0.208765,0.002041
SIM, 0.150102,0.025178,0.016907,0.000210,0.374332,0.284469,0.002360
SIM, 0.180102,0.037643,0.026514,0.000286,0.457701,0.355447,0.002686
SIM, 0.210103,0.052684,0.038168,0.000371,0.546989,0.420117,0.003018
SIM, 0.240103,0.070612,0.051569,0.000467,0.651231,0.470995,0.003348
SIM, 0.270201,0.091974,0.066337,0.000572,0.770728,0.508312,0.003675
SIM, 0.300297,0.117109,0.082061,0.000688,0.901208,0.535184,0.003999
SIM, 0.330393,0.146272,0.098491,0.000813,1.037500,0.555929,0.004323
SIM, 0.360489,0.179555,0.115511,0.000948,1.174080,0.575151,0.004651
SIM, 0.390585,0.216890,0.133139,0.001093,1.305963,0.596990,0.004989
SIM, 0.420681,0.258076,0.151505,0.001248,1.429407,0.624547,0.005341
SIM, 0.450777,0.302822,0.170809,0.001415,1.542251,0.659603,0.005713
SIM, 0.480873,0.350796,0.191290,0.001593,1.643876,0.702649,0.006109
SIM, 0.510972,0.401702,0.213147,0.001783,1.738529,0.749240,0.006535
SIM, 0.540977,0.455184,0.236242,0.001986,1.825358,0.789523,0.007066
SIM, 0.570982,0.511092,0.260458,0.002208,1.899937,0.824179,0.007731
SIM, 0.600987,0.569036,0.285646,0.002452,1.960983,0.854455,0.008532
SIM, 0.630992,0.628610,0.311686,0.002721,2.008648,0.881079,0.009460
SIM, 0.660997,0.689427,0.338475,0.003020,2.043950,0.904407,0.010505
SIM, 0.691002,0.751091,0.365887,0.003352,2.064523,0.921965,0.011598
SIM, 0.721007,0.813155,0.393735,0.003716,2.071039,0.933898,0.012699
SIM, 0.751012,0.875234,0.421881,0.004114,2.065633,0.941969,0.013805
SIM, 0.781017,0.936988,0.450226,0.004544,2.049605,0.947409,0.014915
SIM, 0.811022,0.998115,0.478707,0.005008,2.023966,0.951075,0.016026
SIM, 0.841027,1.058342,0.507279,0.005506,1.989688,0.953543,0.017139
SIM, 0.871032,1.117421,0.535911,0.006037,1.947473,0.955209,0.018253
SIM, 0.901037,1.175116,0.564585,0.006601,1.897437,0.956340,0.019366
SIM, 0.931042,1.231195,0.593288,0.007198,1.839765,0.957117,0.020480
SIM, 0.961047,1.285437,0.622010,0.007830,1.775185,0.957657,0.021593
SIM, 0.991052,1.337667,0.650745,0.008494,1.706043,0.958032,0.022706
SIM, 1.021057,1.387780,0.679492,0.009192,1.634298,0.958300,0.023818
SIM, 1.051062,1.435718,0.708245,0.009923,1.561162,0.958496,0.024929
SIM, 1.081067,1.481451,0.736998,0.010687,1.487387,0.958639,0.026040
SIM, 1.111072,1.524967,0.765753,0.011485,1.413450,0.958752,0.027150
SIM, 1.141077,1.566267,0.794525,0.012316,1.339658,0.958838,0.028260
SIM, 1.171082,1.605357,0.823296,0.013181,1.266224,0.958910,0.029369
SIM, 1.201087,1.642251,0.852067,0.014078,1.192857,0.958973,0.030477
SIM, 1.231092,1.676822,0.880836,0.015009,1.110008,0.958649,0.031576
SIM, 1.261097,1.708808,0.909575,0.015972,1.021707,0.957191,0.032648
SIM, 1.291102,1.738128,0.938269,0.016968,0.932809,0.955805,0.033709
SIM, 1.321107,1.764809,0.966934,0.017995,0.846203,0.955176,0.034774
SIM, 1.351112,1.788950,0.995598,0.019054,0.763670,0.955556,0.035854
SIM, 1.381117,1.810690,1.024279,0.020146,0.686511,0.956740,0.036953
SIM, 1.411122,1.830220,1.052997,0.021271,0.616436,0.957641,0.038055
SIM, 1.441127,1.847752,1.081739,0.022429,0.553206,0.958229,0.039156
SIM, 1.471132,1.863482,1.110493,0.023621,0.496271,0.958606,0.040257
SIM, 1.501137,1.877591,1.139246,0.024845,0.445077,0.958846,0.041357
SIM, 1.531142,1.890244,1.167999,0.026102,0.399089,0.958988,0.042456
SIM, 1.561147,1.901588,1.196769,0.027392,0.357804,0.959068,0.043555
SIM, 1.591152,1.911758,1.225558,0.028715,0.320758,0.959109,0.044652
SIM, 1.621157,1.920875,1.254347,0.030071,0.287527,0.959121,0.045749
SIM, 1.651162,1.929047,1.283136,0.031460,0.257723,0.959117,0.046845
SIM, 1.681167,1.936372,1.311925,0.032882,0.230997,0.959099,0.047940
SIM, 1.711172,1.942938,1.340714,0.034336,0.207031,0.959321,0.049034
SIM, 1.741176,1.948820,1.369604,0.035823,0.185433,0.968696,0.050111
SIM, 1.771181,1.954087,1.398919,0.037343,0.166009,0.986627,0.051174
SIM, 1.801186,1.958803,1.428830,0.038894,0.148615,1.007671,0.052230
SIM, 1.831191,1.963025,1.459371,0.040476,0.133076,1.028168,0.053286
SIM, 1.861196,1.966806,1.490489,0.042091,0.119212,1.045708,0.054346
SIM, 1.891201,1.970194,1.522064,0.043737,0.106852,1.058452,0.055412
SIM, 1.921206,1.973232,1.553931,0.045415,0.095839,1.064955,0.056488
SIM, 1.951211,1.975958,1.585891,0.047126,0.086032,1.064149,0.057575
SIM, 1.981216,1.978405,1.617703,0.048870,0.077300,1.055340,0.058674
SIM, 2.011308,1.980613,1.649232,0.050653,0.069498,1.038180,0.059790
SIM, 2.041377,1.982600,1.680116,0.052469,0.062571,1.011635,0.060921
SIM, 2.071446,1.984391,1.709931,0.054320,0.056579,0.966365,0.062082
SIM, 2.101515,1.986012,1.738157,0.056207,0.051268,0.907227,0.063265
SIM, 2.131584,1.987482,1.764480,0.058129,0.046446,0.840771,0.064461
SIM, 2.161653,1.988813,1.788751,0.060087,0.042012,0.771524,0.065661
SIM, 2.191722,1.990015,1.810935,0.062082,0.037914,0.702546,0.066861
SIM, 2.221792,1.991099,1.831074,0.064112,0.034127,0.635843,0.068057
SIM, 2.251861,1.992073,1.849255,0.066178,0.030634,0.572663,0.069247
SIM, 2.281930,1.992946,1.865597,0.068281,0.027423,0.513718,0.070431
SIM, 2.311999,1.993728,1.880233,0.070418,0.024483,0.459351,0.071607
SIM, 2.342068,1.994423,1.893302,0.072591,0.021803,0.409651,0.072775
SIM, 2.372137,1.995042,1.904944,0.074799,0.019369,0.364532,0.073936
SIM, 2.402206,1.995592,1.915295,0.077042,0.017166,0.323792,0.075089
SIM, 2.432275,1.996078,1.924482,0.079319,0.015178,0.287170,0.076235
SIM, 2.462344,1.996507,1.932625,0.081631,0.013390,0.254366,0.077375
SIM, 2.492414,1.996885,1.939833,0.083977,0.011786,0.225070,0.078508
SIM, 2.522483,1.997219,1.946208,0.086357,0.010351,0.198971,0.079635
SIM, 2.552552,1.997512,1.951842,0.088771,0.009068,0.175767,0.080758
SIM, 2.582621,1.997767,1.956818,0.091218,0.007926,0.155171,0.081875
SIM, 2.612690,1.997988,1.961209,0.093700,0.006909,0.136916,0.082988
SIM, 2.642759,1.998181,1.965083,0.096214,0.006004,0.120756,0.084097
SIM, 2.672828,1.998353,1.968499,0.098762,0.005202,0.106467,0.085202
SIM, 2.702897,1.998497,1.971510,0.101343,0.004495,0.093839,0.086304
SIM, 2.732966,1.998622,1.974164,0.103958,0.003863,0.082687,0.087403
SIM, 2.763036,1.998730,1.976502,0.106605,0.003312,0.072845,0.088499
SIM, 2.793105,1.998825,1.978562,0.109285,0.002817,0.064162,0.089593
SIM, 2.823174,1.998897,1.980376,0.111998,0.002388,0.056507,0.090684
SIM, 2.853243,1.998969,1.981974,0.114744,0.002010,0.049759,0.091773
SIM, 2.883312,1.999027,1.983380,0.117523,0.001664,0.043812,0.092859
SIM, 2.913381,1.999063,1.984619,0.120334,0.001372,0.038574,0.093944
SIM, 2.943450,1.999099,1.985710,0.123178,0.001122,0.033960,0.095028
SIM, 2.973519,1.999135,1.986669,0.126055,0.000897,0.029898,0.096109
SIM, 3.003588,1.999171,1.987514,0.128964,0.000686,0.026323,0.097189
SIM, 3.033658,1.999187,1.988259,0.131905,0.000491,0.023175,0.098267
SIM, 3.063727,1.999187,1.988913,0.134879,0.000342,0.020404,0.099344
SIM, 3.093796,1.999187,1.989489,0.137886,0.000224,0.017964,0.100420
SIM, 3.123865,1.999187,1.989998,0.140924,0.000124,0.015817,0.101494
SIM, 3.153934,1.999187,1.990445,0.143996,0.000034,0.013929,0.102568
SIM, 3.184003,1.999187,1.990839,0.147099,-0.000048,0.012266,0.103640
SIM, 3.214072,1.999187,1.991185,0.150235,-0.000127,0.010804,0.104711
SIM, 3.244141,1.999187,1.991490,0.153402,-0.000203,0.009518,0.105781
SIM, 3.274210,1.999187,1.991759,0.156602,-0.000277,0.008387,0.106850
SIM, 3.304280,1.999187,1.991997,0.159835,-0.000350,0.007393,0.107917
SIM, 3.334349,1.999187,1.992211,0.163099,-0.000422,0.006518,0.108985
SIM, 3.364418,1.999187,1.992390,0.166395,-0.000493,0.005750,0.110050
SIM, 3.394487,1.999187,1.992554,0.169724,-0.000563,0.005071,0.111116
SIM, 3.424556,1.999168,1.992697,0.173084,-0.000627,0.004479,0.112180
SIM, 3.454625,1.999132,1.992825,0.176477,-0.000652,0.003950,0.113243
SIM, 3.484694,1.999096,1.992933,0.179902,-0.000649,0.003491,0.114305
SIM, 3.514763,1.999060,1.993040,0.183358,-0.000631,0.003085,0.115366
SIM, 3.544832,1.999025,1.993122,0.186846,-0.000604,0.002722,0.116427
SIM, 3.574902,1.999015,1.993194,0.190367,-0.000585,0.002415,0.117487
SIM, 3.604971,1.999007,1.993266,0.193919,-0.000602,0.002147,0.118545
SIM, 3.635040,1.998971,1.993337,0.197503,-0.000610,0.001903,0.119604
SIM, 3.665109,1.998935,1.993391,0.201119,-0.000597,0.001678,0.120660
SIM, 3.695178,1.998933,1.993427,0.204767,-0.000595,0.001494,0.121717
SIM, 3.725247,1.998900,1.993463,0.208446,-0.000606,0.001343,0.122772
SIM, 3.755316,1.998864,1.993499,0.212158,-0.000597,0.001212,0.123826
SIM, 3.785385,1.998862,1.993535,0.215901,-0.000595,0.001095,0.124880
SIM, 3.815454,1.998828,1.993570,0.219675,-0.000605,0.000988,0.125934
SIM, 3.845524,1.998796,1.993606,0.223482,-0.000594,0.000886,0.126988
SIM, 3.875593,1.998790,1.993642,0.227320,-0.000599,0.000789,0.128038
SIM, 3.905662,1.998754,1.993678,0.231189,-0.000604,0.000695,0.129088
SIM, 3.935731,1.998729,1.993714,0.235091,-0.000592,0.000601,0.130137
SIM, 3.965800,1.998715,1.993716,0.239024,-0.000603,0.000526,0.131187
SIM, 3.995869,1.998679,1.993716,0.242988,-0.000605,0.000482,0.132236
SIM, 4.025900,1.998649,1.993716,0.246971,-0.000594,0.000459,0.133280
SIM, 4.055941,1.998638,1.993716,0.250985,-0.000601,0.000451,0.134322
SIM, 4.085981,1.998603,1.993716,0.255030,-0.000604,0.000452,0.135363
SIM, 4.116022,1.998576,1.993716,0.259106,-0.000593,0.000459,0.136405
SIM, 4.146063,1.998561,1.993716,0.263214,-0.000603,0.000471,0.137446
SIM, 4.176104,1.998526,1.993716,0.267353,-0.000603,0.000486,0.138488
SIM, 4.206144,1.998502,1.993716,0.271523,-0.000593,0.000501,0.139526
SIM, 4.236185,1.998483,1.993716,0.275724,-0.000603,0.000520,0.140563
SIM, 4.266226,1.998448,1.993716,0.279957,-0.000602,0.000539,0.141600
SIM, 4.296267,1.998428,1.993716,0.284220,-0.000593,0.000559,0.142637
SIM, 4.326307,1.998404,1.993716,0.288515,-0.000604,0.000581,0.143674
SIM, 4.356348,1.998369,1.993726,0.292841,-0.000602,0.000601,0.144711
SIM, 4.386389,1.998352,1.993762,0.297198,-0.000592,0.000596,0.145744
SIM, 4.416430,1.998329,1.993762,0.301585,-0.000606,0.000583,0.146776
SIM, 4.446470,1.998293,1.993762,0.306004,-0.000606,0.000582,0.147809
SIM, 4.476511,1.998258,1.993762,0.310454,-0.000596,0.000589,0.148841
SIM, 4.506552,1.998249,1.993777,0.314934,-0.000600,0.000601,0.149874
SIM, 4.536592,1.998213,1.993799,0.319446,-0.000603,0.000590,0.150906
SIM, 4.566633,1.998183,1.993799,0.323989,-0.000595,0.000582,0.151934
SIM, 4.596674,1.998164,1.993799,0.328562,-0.000603,0.000589,0.152962
SIM, 4.626715,1.998129,1.993813,0.333166,-0.000603,0.000600,0.153990
SIM, 4.656755,1.998105,1.993833,0.337801,-0.000593,0.000590,0.155018
SIM, 4.686796,1.998083,1.993833,0.342467,-0.000605,0.000589,0.156047
SIM, 4.716837,1.998047,1.993837,0.347164,-0.000606,0.000597,0.157072
SIM, 4.746878,1.998012,1.993863,0.351891,-0.000596,0.000592,0.158096
SIM, 4.776918,1.998001,1.993863,0.356650,-0.000601,0.000590,0.159120
SIM, 4.806959,1.997965,1.993873,0.361438,-0.000608,0.000599,0.160144
SIM, 4.837000,1.997930,1.993894,0.366258,-0.000601,0.000591,0.161167
SIM, 4.867041,1.997915,1.993894,0.371108,-0.000595,0.000590,0.162191
SIM, 4.897081,1.997881,1.993909,0.375989,-0.000606,0.000600,0.163212
SIM, 4.927122,1.997845,1.993928,0.380901,-0.000602,0.000590,0.164231
SIM, 4.957163,1.997822,1.993928,0.385843,-0.000594,0.000589,0.165250
SIM, 4.987204,1.997794,1.993943,0.390816,-0.000605,0.000600,0.166269
SIM, 5.017244,1.997758,1.993965,0.395819,-0.000601,0.000591,0.167289
SIM, 5.047285,1.997737,1.993965,0.400853,-0.000595,0.000588,0.168308
SIM, 5.077326,1.997705,1.993977,0.405918,-0.000605,0.000600,0.169323
SIM, 5.107367,1.997670,1.994004,0.411012,-0.000601,0.000592,0.170338
SIM, 5.137407,1.997650,1.994004,0.416138,-0.000595,0.000589,0.171353
SIM, 5.167448,1.997617,1.994016,0.421293,-0.000606,0.000600,0.172368
SIM, 5.197489,1.997581,1.994044,0.426480,-0.000602,0.000593,0.173382
SIM, 5.227530,1.997554,1.994044,0.431696,-0.000595,0.000589,0.174397
SIM, 5.257570,1.997528,1.994058,0.436943,-0.000605,0.000601,0.175408
SIM, 5.287611,1.997492,1.994086,0.442221,-0.000603,0.000593,0.176418
SIM, 5.317652,1.997457,1.994086,0.447528,-0.000596,0.000589,0.177428
SIM, 5.347692,1.997437,1.994100,0.452866,-0.000602,0.000601,0.178439
SIM, 5.377733,1.997401,1.994133,0.458235,-0.000602,0.000594,0.179449
SIM, 5.407774,1.997368,1.994133,0.463633,-0.000595,0.000588,0.180459
SIM, 5.437815,1.997344,1.994144,0.469062,-0.000603,0.000601,0.181465
SIM, 5.467855,1.997308,1.994180,0.474521,-0.000602,0.000596,0.182471
SIM, 5.497896,1.997277,1.994180,0.480010,-0.000595,0.000589,0.183476
SIM, 5.527937,1.997252,1.994192,0.485529,-0.000603,0.000601,0.184482
SIM, 5.557978,1.997216,1.994228,0.491079,-0.000602,0.000596,0.185488
SIM, 5.588018,1.997183,1.994229,0.496659,-0.000596,0.000589,0.186493
SIM, 5.618059,1.997158,1.994243,0.502267,-0.000603,0.000602,0.187495
SIM, 5.648100,1.997122,1.994279,0.507908,-0.000602,0.000596,0.188496
SIM, 5.678141,1.997090,1.994280,0.513578,-0.000596,0.000590,0.189497
SIM, 5.708181,1.997064,1.994296,0.519277,-0.000603,0.000602,0.190499
SIM, 5.738222,1.997028,1.994332,0.525007,-0.000602,0.000597,0.191500
SIM, 5.768263,1.996994,1.994334,0.530768,-0.000596,0.000590,0.192501
SIM, 5.798304,1.996969,1.994352,0.536557,-0.000602,0.000603,0.193497
SIM, 5.828344,1.996933,1.994387,0.542377,-0.000601,0.000597,0.194494
SIM, 5.858385,1.996905,1.994390,0.548227,-0.000596,0.000590,0.195491
SIM, 5.888426,1.996874,1.994410,0.554106,-0.000603,0.000603,0.196488
SIM, 5.918467,1.996838,1.994445,0.560016,-0.000601,0.000597,0.197485
SIM, 5.948507,1.996810,1.994448,0.565956,-0.000595,0.000591,0.198481
SIM, 5.978548,1.996778,1.994470,0.571925,-0.000603,0.000604,0.199473
SIM, 6.008589,1.996743,1.994506,0.577924,-0.000601,0.000597,0.200466
SIM, 6.038630,1.996710,1.994510,0.583953,-0.000596,0.000591,0.201458
SIM, 6.068670,1.996683,1.994533,0.590011,-0.000603,0.000604,0.202451
SIM, 6.098711,1.996647,1.994569,0.596099,-0.000602,0.000599,0.203443
SIM, 6.128752,1.996612,1.994576,0.602218,-0.000596,0.000591,0.204435
SIM, 6.158792,1.996587,1.994597,0.608365,-0.000601,0.000605,0.205423
SIM, 6.188833,1.996551,1.994633,0.614543,-0.000600,0.000601,0.206411
SIM, 6.218874,1.996527,1.994646,0.620750,-0.000596,0.000591,0.207398
SIM, 6.248915,1.996491,1.994665,0.626986,-0.000605,0.000603,0.208386
SIM, 6.278955,1.996455,1.994701,0.633253,-0.000603,0.000601,0.209374
SIM, 6.308996,1.996420,1.994714,0.639549,-0.000597,0.000592,0.210362
SIM, 6.339037,1.996395,1.994735,0.645874,-0.000600,0.000605,0.211345
SIM, 6.369078,1.996359,1.994771,0.652230,-0.000601,0.000604,0.212329
SIM, 6.399118,1.996328,1.994793,0.658615,-0.000595,0.000592,0.213312
SIM, 6.429159,1.996300,1.994808,0.665027,-0.000604,0.000602,0.214296
SIM, 6.459200,1.996264,1.994844,0.671472,-0.000604,0.000604,0.215279
SIM, 6.489241,1.996228,1.994871,0.677945,-0.000599,0.000593,0.216262
SIM, 6.519281,1.996204,1.994883,0.684447,-0.000598,0.000602,0.217241
SIM, 6.549322,1.996168,1.994919,0.690980,-0.000601,0.000607,0.218220
SIM, 6.579363,1.996132,1.994954,0.697541,-0.000597,0.000598,0.219199
SIM, 6.609404,1.996112,1.994963,0.704131,-0.000603,0.000597,0.220178
SIM, 6.639444,1.996076,1.994999,0.710751,-0.000608,0.000604,0.221157
SIM, 6.669485,1.996040,1.995034,0.717400,-0.000605,0.000598,0.222136
SIM, 6.699526,1.996004,1.995043,0.724079,-0.000600,0.000597,0.223111
SIM, 6.729567,1.995982,1.995079,0.730787,-0.000595,0.000606,0.224085
SIM, 6.759607,1.995950,1.995115,0.737524,-0.000604,0.000605,0.225060
SIM, 6.789648,1.995915,1.995148,0.744291,-0.000604,0.000595,0.226034
SIM, 6.819689,1.995879,1.995160,0.751086,-0.000601,0.000601,0.227009
SIM, 6.849730,1.995849,1.995196,0.757910,-0.000595,0.000607,0.227983
SIM, 6.879770,1.995826,1.995232,0.764765,-0.000603,0.000606,0.228954
SIM, 6.909811,1.995790,1.995267,0.771648,-0.000605,0.000598,0.229924
SIM, 6.939852,1.995754,1.995280,0.778560,-0.000602,0.000599,0.230894
SIM, 6.969893,1.995718,1.995316,0.785502,-0.000597,0.000607,0.231864
SIM, 6.999933,1.995702,1.995352,0.792472,-0.000601,0.000608,0.232834
